AU,US,
expand,distribute,expand -> distribute
expands,distributes,expands -> distributes
expanded,distributed,expanded -> distributed
expanding,distributing,expanding -> distributing
expansion,distribution,expansion -> distribution
expansions,distributions,expansions -> distributions
BODMAS,PEMDAS,BODMAS -> PEMDAS
brackets,parentheses,brackets -> parentheses
bracketed,parenthesized,bracketed -> parenthesized
Cartesian Plane,Coordinate Plane,Cartesian Plane -> Coordinate Plane
gradient,slope,gradient -> slope
gradients,slopes,gradients -> slopes
HCF,GCF,HCF -> GCF
fractional index,fractional exponent,fractional index -> fractional exponent
fractional indices,fractional exponents,fractional indices -> fractional exponents
index (or power),exponent (or power),index (or power) -> exponent (or power)
indices (or powers),exponents (or powers),indices (or powers) -> exponents (or powers)
index division,exponent division,index division -> exponent division
index form,exponential form,index form -> exponential form
index multiplication,exponent multiplication,index multiplication -> exponent multiplication
index notation,exponential notation,index notation -> exponential notation
index law,exponent law,index law -> exponent law
index laws,exponent laws,index laws -> exponent laws
index reciprocal,exponent reciprocal,index reciprocal -> exponent reciprocal
index reciprocals,exponent reciprocals,index reciprocals -> exponent reciprocals
index rule,exponent rule,index rule -> exponent rule
index rules,exponent rules,index rules -> exponent rules
index term,exponent term,index term -> exponent term
index terms,exponent terms,index terms -> exponent terms
negative index,negative exponent,negative index -> negative exponent
negative indexes,negative exponents,negative indexes -> negative exponents
negative indices,negative exponents,negative indices -> negative exponents
positive index,positive exponent,positive index -> positive exponent
positive indexes,positive exponents,positive indexes -> positive exponents
positive indices,positive exponents,positive indices -> positive exponents
zero index,zero exponent,zero index -> zero exponent
zero indexes,zero exponents,zero indexes -> zero exponents
zero indices,zero exponents,zero indices -> zero exponents
recurring decimal,repeating decimal,recurring decimal -> repeating decimal
recurring decimals,repeating decimals,recurring decimals -> repeating decimals
right-angle triangle,right triangle,right-angle triangle -> right triangle
right-angled triangle,right triangle,right-angled triangle -> right triangle
trapezium,trapezoid,trapezium -> trapezoid
trapeziums,trapezoids,trapeziums -> trapezoids
mixed fraction,mixed number,mixed fraction -> mixed number
mixed fractions,mixed numbers,mixed fractions -> mixed numbers
pronumeral,variable,pronumeral -> variable
pronumerals,variables,pronumerals -> variables
PSF Method,Split Method,PSF Method -> Split Method
surd,radical,surd -> radical
surds,radicals,surds -> radicals
